id,Ruolo,Calciatore,Squadra,Costo,Costo Iniziale,Diff
237,A,LLORENTE,JUVENTUS,"22,7","27,9",-5
398,A,DESTRO,MILAN,"22,6","24,1",-2
347,C,VAZQUEZ,PALERMO,"22,4","10,6",12
401,A,LJAJIC,ROMA,"22,3","16,3",6
210,A,PALACIO,INTER,"22,2","27,7",-5
158,P,PERIN,GENOA,"21,4","12,5",9
376,P,DE SANCTIS,ROMA,"21,4","15,1",6
261,C,MAURI,LAZIO,"21,3","12,2",9
348,A,BELOTTI,PALERMO,"20,8","16,4",4
454,A,ZAZA,SASSUOLO,"20,8","17,7",3
513,A,THEREAU,UDINESE,"20,7","16,8",4
871,C,SHAQIRI,INTER,"20,5","20,2",0
477,A,CERCI,MILAN,"20,5","23,4",-3
257,C,FELIPE ANDERSON,LAZIO,"20,5","6,6",14
183,P,HANDANOVIC,INTER,"20,1","15,9",5
235,C,VIDAL,JUVENTUS,20,"20,6",0
313,C,HAMSIK,NAPOLI,20,"20,1",0
17,C,BONAVENTURA,MILAN,"19,8","15,5",4
427,A,OKAKA,SAMPDORIA,"19,6","16,3",3
198,C,GUARIN,INTER,"19,4","12,4",7
228,C,MARCHISIO,JUVENTUS,"19,2","16,7",3
153,A,BABACAR,FIORENTINA,"19,2","13,8",6
461,D,GLIK,TORINO,"19,2","10,4",9
894,A,DOUMBIA,ROMA,"19,1","22,3",-3
886,A,GILARDINO,FIORENTINA,19,"20,3",-1
263,C,PAROLO,LAZIO,19,"14,9",5
899,C,SALAH,FIORENTINA,"18,7","12,2",6
23,C,MORALEZ,ATALANTA,"18,5","13,8",5
323,A,ZAPATA D.,NAPOLI,"18,4","13,2",5
102,A,PALOSCHI,CHIEVO,"18,2","20,4",-2
316,C,MERTENS,NAPOLI,"17,8","22,4",-5
70,A,DEFREL,CESENA,"17,6","11,5",6
177,C,PEROTTI,GENOA,"17,5","10,7",7
172,C,IAGO FALQUE,GENOA,"17,2","5,2",12
233,C,PIRLO,JUVENTUS,"17,2","16,2",1
394,C,PJANIC,ROMA,"17,2","18,4",-1
18,C,BRIENZA,CESENA,17,"5,4",12
399,A,GERVINHO,ROMA,"16,8","23,4",-7
392,C,NAINGGOLAN,ROMA,"16,7","12,3",4
240,P,MARCHETTI,LAZIO,"16,7",12,4
324,P,SORRENTINO,PALERMO,"16,6","10,6",6
264,A,DJORDJEVIC,LAZIO,"16,6","17,1",-1
106,P,SEPE,EMPOLI,"16,6","2,3",14
453,A,SANSONE N.,SASSUOLO,"16,6","15,3",1
872,C,DIAMANTI,FIORENTINA,"16,5","16,3",0
346,C,RIGONI,PALERMO,"16,4","10,8",6
511,A,LOPEZ N.,VERONA,"16,1","12,4",4
26,A,DENIS,ATALANTA,"16,1","23,8",-7
220,D,LICHTSTEINER,JUVENTUS,"16,1","16,6",0
161,C,ANTONELLI,MILAN,16,"8,7",8
112,D,RUGANI,EMPOLI,"15,8","7,2",8
1,P,CONSIGLI,SASSUOLO,"15,8","11,2",4
134,D,RODRIGUEZ GO.,FIORENTINA,"15,7","14,5",1
351,P,MIRANTE,PARMA,"15,7","12,5",3
390,C,FLORENZI,ROMA,"15,6","15,9",0
143,C,FERNANDEZ M.,FIORENTINA,"15,5","9,3",6
232,C,PEREYRA,JUVENTUS,"15,5","11,1",4
140,C,BORJA VALERO,FIORENTINA,"15,4","19,7",-4
740,P,DIEGO LOPEZ,MILAN,"15,4","13,7",2
759,P,KARNEZIS,UDINESE,"15,4","1,7",14
215,D,BONUCCI,JUVENTUS,"15,3","12,6",3
200,C,KOVACIC,INTER,"15,3","11,7",4
3,P,SPORTIELLO,ATALANTA,"15,2","1,4",14
400,A,ITURBE,ROMA,"15,2","21,8",-6
418,C,OBIANG,SAMPDORIA,"14,8","8,8",6
44,C,EKDAL,CAGLIARI,"14,8","7,2",7
119,C,VALDIFIORI,EMPOLI,"14,8","5,3",9
254,C,BIGLIA,LAZIO,"14,8","7,2",7
290,A,EL SHAARAWY,MILAN,"14,7","21,8",-7
217,D,CHIELLINI,JUVENTUS,"14,7","15,9",-1
170,C,BERTOLACCI,GENOA,"14,7","7,8",7
182,A,MATRI,JUVENTUS,"14,4","19,1",-5
423,A,BERGESSIO,SAMPDORIA,"14,4","18,2",-4
103,A,PELLISSIER,CHIEVO,"14,3","11,8",3
49,A,PINILLA,ATALANTA,"14,3","14,7",0
50,A,SAU,CAGLIARI,"14,2","19,3",-5
338,C,BARRETO E.,PALERMO,"14,1","9,4",5
502,C,BRUNO FERNANDES,UDINESE,"14,1","13,8",1
500,C,ALLAN,UDINESE,14,"10,5",4
869,A,PODOLSKI,INTER,14,"19,2",-5
155,A,GOMEZ M.,FIORENTINA,14,"29,6",-15
132,D,PASQUAL,FIORENTINA,"13,8","12,2",1
450,A,FLOCCARI,SASSUOLO,"13,8","13,4",0
391,C,KEITA S.,ROMA,"13,7","7,9",6
124,A,TAVANO,EMPOLI,"13,7","16,5",-3
113,D,TONELLI,EMPOLI,"13,7","6,5",7
294,A,PAZZINI,MILAN,"13,7","18,4",-5
248,D,DE VRIJ,LAZIO,"13,6","12,2",1
199,C,HERNANES,INTER,"13,5","16,7",-3
296,P,RAFAEL CABRAL,NAPOLI,"13,5","14,1",-1
470,C,EL KADDOURI,TORINO,"13,4","12,5",1
371,A,AMAURI,TORINO,"13,2","16,1",-3
194,D,RANOCCHIA,INTER,"13,2","12,7",1
145,C,JOAQUIN,FIORENTINA,"13,2","10,9",3
459,D,DARMIAN,TORINO,"13,1","11,5",2
489,D,DANILO,UDINESE,13,"8,5",5
100,A,MAXI LOPEZ,TORINO,13,"14,2",-1
101,A,MEGGIORINI,CHIEVO,13,"12,1",1
150,C,VECINO,EMPOLI,"12,8","6,4",6
