"ATALANTA Voti gentilmente offerti da www.fantagazzetta.com",,,,,,,,,,,,,,,
Cod.,Ruolo,Nome,VF,"Gol Fatto","Gol Subito","Rigore Parato","Rigore Sbagliato","Rigore Segnato",Autorete,Ammonizione,Espulsione,Assist,"Assist Fermo",Gdv,Gdp
107,D,BARBA,"7,04",1,0,0,0,0,0,0,0,0,0,0,1
109,D,LAURINI,"5,01",0,0,0,0,0,0,0,0,0,0,0,0
110,D,"MARIO RUI","6,02",0,0,0,0,0,0,1,0,0,0,0,0
112,D,RUGANI,"6,02",0,0,0,0,0,0,0,0,0,0,0,0
113,D,TONELLI,6*,0,0,0,0,0,0,0,0,0,0,0,0
825,D,SOMMA,"5,51",0,0,0,0,0,0,0,0,0,0,0,0
114,C,CROCE,"6,01",0,0,0,0,0,0,0,0,0,0,0,0
119,C,VALDIFIORI,"6,02",0,0,0,0,0,0,1,0,0,0,0,0
120,C,VERDI,"6,52",0,0,0,0,0,0,0,0,0,0,0,0
150,C,VECINO,"6,53",0,0,0,0,0,0,0,0,0,0,0,0
288,C,SAPONARA,"5,01",0,0,0,0,0,0,0,0,0,0,0,0
122,A,MACCARONE,"5,51",0,0,0,0,0,0,0,0,0,0,0,0
124,A,TAVANO,"5,02",0,0,0,0,0,0,0,0,0,0,0,0
794,ALL,SARRI,"6,53",0,0,0,0,0,0,0,0,0,0,0,0
"FIORENTINA Voti gentilmente offerti da www.fantagazzetta.com",,,,,,,,,,,,,,,
Cod.,Ruolo,Nome,VF,"Gol Fatto","Gol Subito","Rigore Parato","Rigore Sbagliato","Rigore Segnato",Autorete,Ammonizione,Espulsione,Assist,"Assist Fermo",Gdv,Gdp
125,P,NETO,"7,03",0,4,0,0,0,0,0,0,0,0,0,0
129,D,BASANTA,"4,51",0,0,0,0,0,0,1,0,0,0,0,0
132,D,PASQUAL,"5,02",0,0,0,0,0,0,0,0,0,0,0,0
136,D,SAVIC,"4,51",0,0,0,0,0,0,0,0,0,0,0,0
137,D,TOMOVIC,"4,01",0,0,0,0,0,0,1,0,0,0,0,0
143,C,"FERNANDEZ M.","5,01",0,0,0,0,0,0,0,0,0,0,0,0
144,C,ILICIC,"4,51",0,0,0,0,0,0,0,0,0,0,0,0
145,C,JOAQUIN,6*,0,0,0,0,0,0,0,0,0,0,0,0
148,C,PIZARRO,"5,52",0,0,0,0,0,0,0,0,0,0,0,0
446,C,KURTIC,"5,01",0,0,0,0,0,0,1,0,0,0,0,0
810,C,BADELJ,"5,52",0,0,0,0,0,0,0,0,0,0,0,0
872,C,DIAMANTI,"5,51",0,0,0,0,0,0,0,0,0,0,0,0
899,C,SALAH,"5,52",0,0,0,0,0,0,0,0,0,0,0,0
886,A,GILARDINO,"5,52",0,0,0,0,0,0,0,0,0,0,0,0
790,ALL,MONTELLA,"4,51",0,0,0,0,0,0,0,0,0,0,0,0
"GENOA Voti gentilmente offerti da www.fantagazzetta.com",,,,,,,,,,,,,,,
Cod.,Ruolo,Nome,VF,"Gol Fatto","Gol Subito","Rigore Parato","Rigore Sbagliato","Rigore Segnato",Autorete,Ammonizione,Espulsione,Assist,"Assist Fermo",Gdv,Gdp
158,P,PERIN,"6,52",0,1,0,0,0,0,0,0,0,0,0,0
135,D,RONCAGLIA,"6,02",0,0,0,0,0,0,0,0,0,0,0,0
163,D,BURDISSO,"5,51",0,0,0,0,0,0,1,0,0,0,0,0
164,D,"DE MAIO","6,02",0,0,0,0,0,0,0,0,0,0,0,0
165,D,IZZO,"6,01",0,0,0,0,0,0,0,0,0,0,0,0
492,D,EDENILSON,"6,02",0,0,0,0,0,0,0,0,0,0,0,0
170,C,BERTOLACCI,"6,02",0,0,0,0,0,0,1,0,0,0,0,0
172,C,"IAGO FALQUE","5,52",0,0,0,0,0,0,0,0,0,0,0,0
176,C,KUCKA,"5,01",0,0,0,0,0,0,0,0,0,0,0,0
177,C,PEROTTI,"6,53",0,0,0,0,0,0,0,0,0,0,0,0
179,C,RINCON,"7,04",0,0,0,0,0,0,0,0,0,0,0,0
901,C,BERGDICH,"5,51",0,0,0,0,0,0,0,0,0,0,0,0
293,A,NIANG,"6,54",1,0,0,0,0,0,0,0,0,0,0,0
397,A,BORRIELLO,6*,0,0,0,0,0,0,0,0,0,0,0,0
795,ALL,GASPERINI,"6,53",0,0,0,0,0,0,0,0,0,0,0,0
"INTER Voti gentilmente offerti da www.fantagazzetta.com",,,,,,,,,,,,,,,
Cod.,Ruolo,Nome,VF,"Gol Fatto","Gol Subito","Rigore Parato","Rigore Sbagliato","Rigore Segnato",Autorete,Ammonizione,Espulsione,Assist,"Assist Fermo",Gdv,Gdp
183,P,HANDANOVIC,"6,52",0,2,0,0,0,0,0,0,0,0,0,0
188,D,D'AMBROSIO,"6,02",0,0,0,0,0,0,0,0,0,0,0,0
191,D,"JUAN JESUS","5,01",0,0,0,0,0,0,1,0,0,0,0,0
194,D,RANOCCHIA,"6,52",0,0,0,0,0,0,0,0,0,0,0,0
897,D,SANTON,"6,02",0,0,0,0,0,0,0,0,0,0,0,0
198,C,GUARIN,"6,02",0,0,0,0,0,0,1,0,1,0,0,0
199,C,HERNANES,"6,01",0,0,0,0,0,0,0,0,0,0,0,0
713,C,MEDEL,"6,53",0,0,0,0,0,0,0,0,0,0,0,0
871,C,SHAQIRI,"5,52",0,0,0,0,0,0,0,0,0,0,0,0
888,C,BROZOVIC,"5,51",0,0,0,0,0,0,1,0,0,0,0,0
209,A,ICARDI,"7,04",0,0,0,0,1,0,0,0,0,0,0,1
210,A,PALACIO,"6,53",1,0,0,0,0,0,0,0,0,0,0,0
837,A,PUSCAS,6*,0,0,0,0,0,0,0,0,0,0,0,0
858,ALL,MANCINI,"6,53",0,0,0,0,0,0,0,0,0,0,0,0
"JUVENTUS Voti gentilmente offerti da www.fantagazzetta.com",,,,,,,,,,,,,,,
Cod.,Ruolo,Nome,VF,"Gol Fatto","Gol Subito","Rigore Parato","Rigore Sbagliato","Rigore Segnato",Autorete,Ammonizione,Espulsione,Assist,"Assist Fermo",Gdv,Gdp
213,P,STORARI,"6,02",0,0,0,0,0,0,0,0,0,0,0,0
214,D,BARZAGLI,6*,0,0,0,0,0,0,0,0,0,0,0,0
215,D,BONUCCI,"6,02",0,0,0,0,0,0,0,0,0,0,0,0
217,D,CHIELLINI,"5,51",0,0,0,0,0,0,0,0,0,0,0,0
219,D,EVRA,"6,53",0,0,0,0,0,0,0,0,0,0,0,0
220,D,LICHTSTEINER,"6,02",0,0,0,0,0,0,0,0,0,0,0,0
228,C,MARCHISIO,"6,01",0,0,0,0,0,0,0,0,0,0,0,0
231,C,PEPE,"6,02",0,0,0,0,0,0,0,0,0,0,0,0
232,C,PEREYRA,"5,52",0,0,0,0,0,0,0,0,0,0,0,0
234,C,POGBA,"7,04",1,0,0,0,0,0,1,0,0,0,1,0
235,C,VIDAL,"5,51",0,0,0,0,0,0,0,0,0,0,0,0
237,A,LLORENTE,"6,02",0,0,0,0,0,0,0,0,0,0,0,0
238,A,MORATA,"6,01",0,0,0,0,0,0,0,0,0,0,0,0
239,A,TEVEZ,"6,53",0,0,0,0,0,0,1,0,0,0,0,0
788,ALL,ALLEGRI,"6,02",0,0,0,0,0,0,0,0,0,0,0,0
"LAZIO Voti gentilmente offerti da www.fantagazzetta.com",,,,,,,,,,,,,,,
Cod.,Ruolo,Nome,VF,"Gol Fatto","Gol Subito","Rigore Parato","Rigore Sbagliato","Rigore Segnato",Autorete,Ammonizione,Espulsione,Assist,"Assist Fermo",Gdv,Gdp
240,P,MARCHETTI,"6,02",0,0,0,0,0,0,0,0,0,0,0,0
243,D,BASTA,"6,52",0,0,0,0,0,0,0,0,0,0,0,0
248,D,"DE VRIJ","7,03",0,0,0,0,0,0,0,0,0,0,0,0
250,D,NOVARETTI,"6,01",0,0,0,0,0,0,0,0,0,0,0,0
252,D,RADU,"6,52",0,0,0,0,0,0,0,0,0,0,0,0
885,D,MAURICIO,"6,52",0,0,0,0,0,0,1,0,0,0,0,0
254,C,BIGLIA,"8,04",1,0,0,0,0,0,0,0,0,0,1,0
255,C,CANDREVA,"7,54",0,0,0,0,1,0,1,0,0,0,0,0
257,C,"FELIPE ANDERSON","7,03",0,0,0,0,0,0,0,0,0,0,0,0
261,C,MAURI,"6,52",0,0,0,0,0,0,0,0,0,0,0,0
262,C,ONAZI,6*,0,0,0,0,0,0,0,0,0,0,0,0
736,C,CATALDI,"6,53",0,0,0,0,0,0,0,0,0,0,0,0
265,A,"KEITA B.","6,52",0,0,0,0,0,0,0,0,0,0,0,0
266,A,KLOSE,"7,54",2,0,0,0,0,0,0,0,0,0,0,0
797,ALL,PIOLI,"7,54",0,0,0,0,0,0,0,0,0,0,0,0
"MILAN Voti gentilmente offerti da www.fantagazzetta.com",,,,,,,,,,,,,,,
Cod.,Ruolo,Nome,VF,"Gol Fatto","Gol Subito","Rigore Parato","Rigore Sbagliato","Rigore Segnato",Autorete,Ammonizione,Espulsione,Assist,"Assist Fermo",Gdv,Gdp
740,P,"DIEGO LOPEZ","6,02",0,2,0,0,0,0,0,0,0,0,0,0
274,D,BONERA,"6,02",0,0,0,0,0,0,0,0,0,0,0,0
277,D,MEXES,"6,53",0,0,0,0,0,0,0,0,0,0,0,0
362,D,PALETTA,"6,02",0,0,0,0,0,0,0,0,0,0,0,0
889,D,BOCCHETTI,"5,01",0,0,0,0,0,0,0,0,0,0,0,0
17,C,BONAVENTURA,"6,01",0,0,0,0,0,0,0,0,0,0,0,0
161,C,ANTONELLI,"5,51",0,0,0,0,0,0,0,0,0,0,0,0
284,C,HONDA,"5,01",0,0,0,0,0,0,0,0,0,0,0,0
286,C,MUNTARI,"4,01",0,0,0,0,0,0,0,0,0,0,0,0
287,C,POLI,"6,53",0,0,0,0,0,0,1,0,0,0,0,0
292,C,MENEZ,"6,54",0,0,0,0,1,0,0,0,0,0,0,0
294,A,PAZZINI,"4,51",0,0,0,0,0,0,0,0,0,0,0,0
398,A,DESTRO,6*,0,0,0,0,0,0,0,0,0,0,0,0
477,A,CERCI,"4,51",0,0,0,0,0,0,0,0,0,0,0,0
798,ALL,INZAGHI,"5,01",0,0,0,0,0,0,0,0,0,0,0,0
"NAPOLI Voti gentilmente offerti da www.fantagazzetta.com",,,,,,,,,,,,,,,
Cod.,Ruolo,Nome,VF,"Gol Fatto","Gol Subito","Rigore Parato","Rigore Sbagliato","Rigore Segnato",Autorete,Ammonizione,Espulsione,Assist,"Assist Fermo",Gdv,Gdp
297,P,ANDUJAR,"6,02",0,2,0,0,0,0,0,0,0,0,0,0
299,D,ALBIOL,"5,51",0,0,0,0,0,0,0,0,0,0,0,0
303,D,HENRIQUE,"4,51",0,0,0,0,0,0,0,1,1,0,0,0
304,D,KOULIBALY,"6,02",0,0,0,0,0,0,0,0,0,0,0,0
306,D,MESTO,6*,0,0,0,0,0,0,0,0,0,0,0,0
864,D,STRINIC,"5,51",0,0,0,0,0,0,0,0,0,0,0,0
313,C,HAMSIK,"6,52",1,0,0,0,0,0,0,0,0,0,0,0
314,C,INLER,"6,53",0,0,0,0,0,0,0,0,0,0,0,0
316,C,MERTENS,"6,53",0,0,0,0,0,0,1,0,0,0,0,0
768,C,"DE GUZMAN","5,52",0,0,0,0,0,0,0,0,0,0,0,0
807,C,"DAVID LOPEZ","5,51",0,0,0,0,0,0,0,0,0,0,0,0
309,A,CALLEJON,"6,02",0,0,0,0,0,0,0,0,0,0,0,0
318,A,HIGUAIN,"7,04",1,0,0,0,0,0,0,0,0,0,0,0
426,A,GABBIADINI,6*,0,0,0,0,0,0,0,0,0,0,0,0
799,ALL,BENITEZ,"5,51",0,0,0,0,0,0,0,0,0,0,0,0
"PALERMO Voti gentilmente offerti da www.fantagazzetta.com",,,,,,,,,,,,,,,
Cod.,Ruolo,Nome,VF,"Gol Fatto","Gol Subito","Rigore Parato","Rigore Sbagliato","Rigore Segnato",Autorete,Ammonizione,Espulsione,Assist,"Assist Fermo",Gdv,Gdp
324,P,SORRENTINO,"6,02",0,0,0,0,0,0,0,0,0,0,0,0
327,D,ANDELKOVIC,"6,02",0,0,0,0,0,0,0,0,0,0,0,0
328,D,DAPRELA',"6,01",0,0,0,0,0,0,0,0,0,0,0,0
335,D,TERZI,"6,02",0,0,0,0,0,0,0,0,0,0,0,0
336,D,VITIELLO,"6,53",0,0,0,0,0,0,0,0,0,0,0,0
338,C,"BARRETO E.","5,51",0,0,0,0,0,0,1,0,0,0,0,0
340,C,CHOCHEV,6*,0,0,0,0,0,0,0,0,0,0,0,0
343,C,MARESCA,"6,01",0,0,0,0,0,0,0,0,0,0,0,0
345,C,QUAISON,"5,02",0,0,0,0,0,0,0,0,0,0,0,0
346,C,RIGONI,"6,02",0,0,0,0,0,0,0,0,0,0,0,0
347,C,VAZQUEZ,"6,02",0,0,0,0,0,0,0,0,0,0,0,0
891,C,JAJALO,"6,53",0,0,0,0,0,0,1,0,0,0,0,0
348,A,BELOTTI,"6,53",0,0,0,0,0,0,0,0,0,0,0,0
349,A,DYBALA,"6,02",0,0,0,0,0,0,0,0,0,0,0,0
800,ALL,IACHINI,"6,02",0,0,0,0,0,0,0,0,0,0,0,0
"PARMA Voti gentilmente offerti da www.fantagazzetta.com",,,,,,,,,,,,,,,
Cod.,Ruolo,Nome,VF,"Gol Fatto","Gol Subito","Rigore Parato","Rigore Sbagliato","Rigore Segnato",Autorete,Ammonizione,Espulsione,Assist,"Assist Fermo",Gdv,Gdp
351,P,MIRANTE,"6,02",0,0,0,0,0,0,0,0,0,0,0,0
358,D,GOBBI,"6,02",0,0,0,0,0,0,0,0,0,0,0,0
359,D,LUCARELLI,"6,53",0,0,0,0,0,0,1,0,0,0,0,0
360,D,MENDES,"6,01",0,0,0,0,0,0,0,0,0,0,0,0
746,D,SANTACROCE,"6,02",0,0,0,0,0,0,0,0,0,0,0,0
366,C,GALLOPPA,"5,51",0,0,0,0,0,0,0,0,0,0,0,0
473,C,NOCERINO,"5,01",0,0,0,0,0,0,0,0,0,0,0,0
749,C,"MAURI J.","6,53",0,0,0,0,0,0,0,0,0,0,0,0
843,C,MARIGA,"5,52",0,0,0,0,0,0,0,0,0,0,0,0
867,C,LILA,6*,0,0,0,0,0,0,0,0,0,0,0,0
883,C,VARELA,"5,51",0,0,0,0,0,0,0,0,0,0,0,0
884,C,"RODRIGUEZ C","6,53",0,0,0,0,0,0,0,1,0,0,0,0
372,A,BELFODIL,"6,02",0,0,0,0,0,0,0,0,0,0,0,0
811,A,"CODA M.","6,02",0,0,0,0,0,0,0,0,0,0,0,0
801,ALL,DONADONI,"7,03",0,0,0,0,0,0,0,0,0,0,0,0
"ROMA Voti gentilmente offerti da www.fantagazzetta.com",,,,,,,,,,,,,,,
Cod.,Ruolo,Nome,VF,"Gol Fatto","Gol Subito","Rigore Parato","Rigore Sbagliato","Rigore Segnato",Autorete,Ammonizione,Espulsione,Assist,"Assist Fermo",Gdv,Gdp
376,P,"DE SANCTIS","6,02",0,0,0,0,0,0,0,0,0,0,0,0
380,D,ASTORI,"5,01",0,0,0,0,0,0,0,0,0,0,0,0
384,D,COLE,"4,51",0,0,0,0,0,0,0,0,0,0,0,0
778,D,MANOLAS,"5,01",0,0,0,0,0,0,0,0,0,0,0,0
390,C,FLORENZI,"6,02",0,0,0,0,0,0,1,0,0,0,0,0
391,C,"KEITA S.","6,53",0,0,0,0,0,0,0,0,0,0,0,0
392,C,NAINGGOLAN,"5,02",0,0,0,0,0,0,1,0,0,0,0,0
393,C,PAREDES,"4,51",0,0,0,0,0,0,0,0,0,0,0,0
394,C,PJANIC,6*,0,0,0,0,0,0,0,0,0,0,0,0
399,A,GERVINHO,"5,51",0,0,0,0,0,0,0,0,0,0,0,0
400,A,ITURBE,"5,52",0,0,0,0,0,0,0,0,0,0,0,0
401,A,LJAJIC,"6,02",0,0,0,0,0,0,0,0,0,0,0,0
403,A,TOTTI,"5,01",0,0,0,0,0,0,0,0,0,0,0,0
881,A,VERDE,"6,02",0,0,0,0,0,0,0,0,0,0,0,0
789,ALL,GARCIA,"5,02",0,0,0,0,0,0,0,0,0,0,0,0
"SAMPDORIA Voti gentilmente offerti da www.fantagazzetta.com",,,,,,,,,,,,,,,
Cod.,Ruolo,Nome,VF,"Gol Fatto","Gol Subito","Rigore Parato","Rigore Sbagliato","Rigore Segnato",Autorete,Ammonizione,Espulsione,Assist,"Assist Fermo",Gdv,Gdp
712,P,VIVIANO,"7,03",0,0,0,0,0,0,0,0,0,0,0,0
