"ATALANTA Voti gentilmente offerti da www.fantagazzetta.com",,,,,,,,,,,,,,,
Cod.,Ruolo,Nome,VF,"Gol Fatto","Gol Subito","Rigore Parato","Rigore Sbagliato","Rigore Segnato",Autorete,Ammonizione,Espulsione,Assist,"Assist Fermo",Gdv,Gdp
494,D,"GABRIEL SILVA","6,02",0,0,0,0,0,0,0,0,0,0,0,0
497,D,PASQUALE,"6,01",0,0,0,0,0,0,1,0,0,0,0,0
498,D,WAGUE,"7,04",1,0,0,0,0,0,0,0,0,0,1,0
704,D,PIRIS,"5,51",0,0,0,0,0,0,0,0,0,0,0,0
499,C,WIDMER,"6,02",0,0,0,0,0,0,0,0,0,0,0,0
500,C,ALLAN,"5,51",0,0,0,0,0,0,0,0,0,0,0,0
501,C,BADU,6*,0,0,0,0,0,0,0,0,0,0,0,0
503,C,GUILHERME,"5,52",0,0,0,0,0,0,0,0,0,0,0,0
506,C,PINZI,"6,53",0,0,0,0,0,0,1,0,0,0,0,0
766,C,KONE,"6,02",0,0,0,0,0,0,1,0,0,0,0,0
510,A,"DI NATALE","6,54",1,0,0,0,0,0,0,0,1,0,0,0
805,ALL,STRAMACCIONI,"6,53",0,0,0,0,0,0,0,0,0,0,0,0
"VERONA Voti gentilmente offerti da www.fantagazzetta.com",,,,,,,,,,,,,,,
Cod.,Ruolo,Nome,VF,"Gol Fatto","Gol Subito","Rigore Parato","Rigore Sbagliato","Rigore Segnato",Autorete,Ammonizione,Espulsione,Assist,"Assist Fermo",Gdv,Gdp
483,P,BENUSSI,"6,02",0,2,0,0,0,0,0,0,0,0,0,0
334,D,"PISANO E.","6,02",0,0,0,0,0,0,0,0,0,0,0,0
520,D,MARQUES,"6,02",0,0,0,0,0,0,0,0,0,0,0,0
522,D,MORAS,"5,01",0,0,0,0,0,0,0,0,0,0,0,0
523,D,"RODRIGUEZ GU.","6,03",0,0,0,0,0,0,0,0,0,0,0,0
524,C,TACHTSIDIS,"6,54",0,0,0,0,0,1,0,0,0,0,0,0
527,C,HALLFREDSSON,"5,01",0,0,0,0,0,0,1,0,0,0,0,0
528,C,IONITA,"6,53",0,0,0,0,0,0,1,0,0,0,0,0
529,C,JANKOVIC,"5,01",0,0,0,0,0,0,0,0,0,0,0,0
530,C,OBBADI,"6,02",0,0,0,0,0,0,0,0,0,0,0,0
532,C,SALA,"6,53",0,0,0,0,0,0,0,0,0,0,0,0
511,A,"LOPEZ N.","6,54",1,0,0,0,0,0,1,0,0,0,0,1
535,A,"JUANITO GOMEZ","6,02",0,0,0,0,0,0,0,0,1,0,0,0
538,A,TONI,"6,54",0,0,0,0,1,0,0,0,0,0,0,0
806,ALL,MANDORLINI,"6,02",0,0,0,0,0,0,0,1,0,0,0,0
WWW.FANTAGAZZETTA.COM,,,,,,,,,,,,,,,
